_id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
679c3f99153edc64d0cf7646,Female,26,1,16.0,1,< 1 Year,No,22152.0,152.0,137,0
679c3f9a153edc64d0d0d656,Male,26,1,28.0,1,< 1 Year,No,76069.0,154.0,278,0
679c3f9b153edc64d0d34244,Male,31,1,16.0,0,< 1 Year,Yes,2630.0,160.0,235,0
679c3f9a153edc64d0d0defd,Male,41,1,28.0,0,1-2 Year,Yes,27439.0,157.0,21,1
679c3f9a153edc64d0d1b6dd,Male,66,1,33.0,1,1-2 Year,No,28075.0,26.0,124,0
679c3f9b153edc64d0d4c589,Female,43,1,17.0,1,1-2 Year,No,2630.0,152.0,166,0
679c3f9b153edc64d0d47208,Female,24,1,11.0,1,< 1 Year,No,45691.0,152.0,39,0
679c3f9b153edc64d0d44acc,Female,51,1,28.0,0,> 2 Years,Yes,55212.0,26.0,260,1
679c3f99153edc64d0cf6f4a,Male,34,1,28.0,0,1-2 Year,Yes,2630.0,124.0,23,0
679c3f9a153edc64d0d21ed9,Male,53,1,28.0,0,> 2 Years,Yes,50443.0,124.0,128,1
679c3f9a153edc64d0d17ac3,Male,54,1,46.0,0,1-2 Year,Yes,28388.0,152.0,221,0
679c3f99153edc64d0cf3287,Female,39,1,28.0,0,1-2 Year,Yes,39303.0,122.0,242,1
679c3f9a153edc64d0d09421,Female,25,1,41.0,1,< 1 Year,No,67600.0,152.0,38,0
679c3f9a153edc64d0d04ac0,Female,27,1,33.0,1,< 1 Year,No,24331.0,152.0,250,0
679c3f9b153edc64d0d3db74,Female,27,1,36.0,1,< 1 Year,No,2630.0,152.0,125,0
679c3f9b153edc64d0d39141,Male,36,1,35.0,0,> 2 Years,Yes,36712.0,31.0,140,0
679c3f9a153edc64d0d2b802,Female,23,1,15.0,1,< 1 Year,No,32873.0,160.0,135,0
679c3f9b153edc64d0d46a35,Male,49,1,48.0,1,1-2 Year,No,2630.0,26.0,294,0
679c3f9a153edc64d0d1fb5c,Female,32,1,28.0,0,1-2 Year,Yes,2630.0,26.0,45,0
679c3f9b153edc64d0d440b1,Male,29,1,11.0,1,< 1 Year,No,27589.0,152.0,254,0
679c3f9a153edc64d0d07601,Female,46,1,28.0,0,1-2 Year,Yes,2630.0,156.0,250,0
679c3f9a153edc64d0d2a5c8,Female,27,1,45.0,1,< 1 Year,No,21972.0,152.0,272,0
679c3f9a153edc64d0d181da,Female,23,1,41.0,1,< 1 Year,No,35559.0,152.0,143,0
679c3f9a153edc64d0d1ecd8,Female,52,1,28.0,0,> 2 Years,Yes,40856.0,163.0,16,0
679c3f9b153edc64d0d333b7,Male,44,1,28.0,0,1-2 Year,Yes,35618.0,26.0,121,0
679c3f99153edc64d0cfe836,Female,51,1,28.0,0,1-2 Year,Yes,35362.0,26.0,194,0
679c3f9b153edc64d0d3e8fc,Female,22,1,30.0,1,< 1 Year,No,33989.0,152.0,254,0
679c3f9a153edc64d0d2c495,Male,60,1,45.0,1,1-2 Year,No,30278.0,124.0,169,0
679c3f9a153edc64d0d1b593,Female,46,1,2.0,0,1-2 Year,Yes,29676.0,124.0,39,0
679c3f9a153edc64d0d20b2e,Male,20,1,36.0,0,< 1 Year,Yes,27440.0,160.0,245,0
679c3f9b153edc64d0d46454,Female,56,1,17.0,1,1-2 Year,No,30998.0,160.0,64,0
679c3f9a153edc64d0d20115,Female,26,1,42.0,1,< 1 Year,No,24933.0,152.0,104,0
679c3f9a153edc64d0d0ce9b,Male,53,1,28.0,0,1-2 Year,Yes,38940.0,26.0,200,0
679c3f9a153edc64d0d26ff1,Female,29,1,28.0,0,< 1 Year,Yes,45497.0,124.0,196,0
679c3f9a153edc64d0d04770,Male,52,1,28.0,1,1-2 Year,No,38742.0,26.0,232,0
679c3f9b153edc64d0d44ec5,Male,24,1,11.0,1,< 1 Year,No,25642.0,26.0,226,0
679c3f9b153edc64d0d3610a,Female,33,1,28.0,0,< 1 Year,No,37214.0,124.0,242,0
679c3f9b153edc64d0d4b621,Female,61,1,28.0,1,1-2 Year,No,45112.0,152.0,181,0
679c3f9a153edc64d0d18677,Female,27,1,11.0,1,< 1 Year,No,33220.0,152.0,93,0
679c3f9a153edc64d0d21a91,Female,25,1,4.0,1,< 1 Year,No,22900.0,152.0,27,0
679c3f9a153edc64d0d30986,Male,25,1,11.0,1,< 1 Year,No,27831.0,152.0,27,0
679c3f9a153edc64d0d2ff5b,Female,50,1,41.0,1,1-2 Year,No,48933.0,124.0,199,0
679c3f9b153edc64d0d3e959,Male,22,1,49.0,1,< 1 Year,No,32803.0,152.0,30,0
679c3f9a153edc64d0d1e947,Male,59,1,50.0,0,1-2 Year,Yes,31884.0,25.0,23,0
679c3f9a153edc64d0d1b4d5,Male,23,1,18.0,1,< 1 Year,No,76448.0,152.0,129,0
679c3f9b153edc64d0d3e8e1,Male,48,1,15.0,1,1-2 Year,No,2630.0,124.0,33,0
679c3f9b153edc64d0d45d70,Male,64,1,28.0,0,1-2 Year,Yes,39167.0,26.0,284,0
679c3f9a153edc64d0d16489,Female,44,1,28.0,0,1-2 Year,Yes,63758.0,124.0,151,0
679c3f9a153edc64d0d1b30f,Male,48,1,45.0,0,> 2 Years,Yes,2630.0,157.0,47,0
679c3f9a153edc64d0d157a5,Male,68,1,8.0,1,1-2 Year,Yes,42324.0,26.0,187,0
679c3f9a153edc64d0d10fb4,Male,37,1,28.0,0,1-2 Year,Yes,32540.0,124.0,210,0
679c3f9b153edc64d0d3c8dc,Male,47,1,29.0,0,1-2 Year,Yes,30993.0,124.0,76,1
679c3f9a153edc64d0d1408e,Male,27,1,8.0,1,< 1 Year,No,51042.0,152.0,234,0
679c3f9a153edc64d0d11248,Male,50,1,28.0,0,1-2 Year,Yes,53905.0,154.0,208,0
679c3f99153edc64d0cf629a,Male,50,1,33.0,0,1-2 Year,Yes,29987.0,124.0,226,1
679c3f9a153edc64d0d2b6f2,Male,25,1,14.0,1,< 1 Year,No,26206.0,152.0,70,0
679c3f9a153edc64d0d0e328,Male,43,1,12.0,0,1-2 Year,Yes,24383.0,26.0,16,1
679c3f9a153edc64d0d24651,Male,23,1,41.0,1,< 1 Year,No,33734.0,152.0,226,0
679c3f9a153edc64d0d1bc0c,Male,25,1,15.0,0,< 1 Year,Yes,2630.0,152.0,168,0
679c3f99153edc64d0d02edd,Female,29,1,37.0,1,< 1 Year,No,31995.0,152.0,51,0
679c3f9a153edc64d0d27839,Male,23,1,18.0,1,< 1 Year,No,39980.0,152.0,123,0
679c3f99153edc64d0cfe325,Female,23,1,45.0,1,< 1 Year,No,20345.0,152.0,215,0
679c3f9b153edc64d0d3c9a7,Male,25,1,16.0,1,< 1 Year,No,30623.0,152.0,246,0
679c3f9a153edc64d0d25d55,Male,25,1,34.0,0,< 1 Year,Yes,46024.0,152.0,54,0
679c3f9b153edc64d0d4b842,Female,41,1,38.0,0,1-2 Year,Yes,27359.0,124.0,31,0
679c3f9b153edc64d0d3d620,Female,60,1,19.0,0,1-2 Year,Yes,37237.0,124.0,12,0
679c3f9a153edc64d0d29699,Female,52,1,6.0,0,1-2 Year,Yes,26099.0,124.0,99,1
679c3f9b153edc64d0d31c77,Female,27,1,37.0,0,< 1 Year,Yes,23921.0,152.0,233,0
679c3f9a153edc64d0d1e0fd,Female,36,1,30.0,0,1-2 Year,Yes,2630.0,156.0,185,1
679c3f9a153edc64d0d171f6,Male,23,1,2.0,0,< 1 Year,Yes,34656.0,152.0,72,0
679c3f9b153edc64d0d3ce2f,Male,34,1,36.0,1,1-2 Year,No,23107.0,152.0,123,0
679c3f9a153edc64d0d1cd78,Male,21,1,8.0,1,< 1 Year,No,42934.0,160.0,180,0
679c3f9a153edc64d0d17bd4,Male,63,1,43.0,0,1-2 Year,No,23256.0,26.0,246,0
679c3f99153edc64d0d02beb,Male,44,1,15.0,0,1-2 Year,Yes,31675.0,4.0,249,0
679c3f99153edc64d0cf854c,Female,23,1,25.0,0,< 1 Year,Yes,31277.0,152.0,226,0
679c3f9a153edc64d0d0e073,Male,74,1,41.0,0,1-2 Year,Yes,19333.0,26.0,135,0
679c3f9b153edc64d0d45753,Male,39,1,28.0,0,1-2 Year,Yes,68090.0,124.0,197,0
679c3f99153edc64d0cff8d8,Male,49,1,28.0,0,1-2 Year,Yes,2630.0,26.0,77,0
679c3f9a153edc64d0d21171,Male,39,1,26.0,0,1-2 Year,Yes,24960.0,22.0,151,0
679c3f99153edc64d0cf0af4,Male,38,1,29.0,0,1-2 Year,No,2630.0,154.0,152,0
679c3f9a153edc64d0d096f6,Male,52,1,45.0,0,1-2 Year,No,36775.0,124.0,39,0
679c3f9b153edc64d0d370bb,Female,73,1,18.0,0,1-2 Year,Yes,2630.0,156.0,28,0
679c3f9a153edc64d0d2c421,Male,23,1,33.0,1,< 1 Year,No,31069.0,152.0,169,0
679c3f9a153edc64d0d25b0e,Female,47,1,28.0,1,1-2 Year,No,59762.0,139.0,266,0
679c3f9b153edc64d0d3ed28,Male,75,1,15.0,0,1-2 Year,No,40582.0,152.0,39,0
679c3f9b153edc64d0d3fe15,Male,46,1,35.0,0,1-2 Year,Yes,45997.0,26.0,177,0
679c3f9b153edc64d0d45449,Male,36,1,33.0,1,1-2 Year,No,31096.0,152.0,280,0
679c3f9a153edc64d0d2c8ca,Male,23,1,30.0,1,< 1 Year,No,34274.0,152.0,190,0
679c3f99153edc64d0cefe6c,Female,47,1,35.0,0,1-2 Year,Yes,47576.0,124.0,46,1
679c3f9a153edc64d0d223d2,Male,60,1,28.0,0,1-2 Year,Yes,66862.0,24.0,296,0
679c3f9a153edc64d0d2b0dc,Male,37,1,18.0,0,1-2 Year,Yes,34057.0,124.0,165,0
679c3f9a153edc64d0d1a773,Female,25,1,8.0,1,< 1 Year,No,39076.0,152.0,224,0
679c3f9a153edc64d0d287fd,Male,42,1,18.0,1,1-2 Year,No,36034.0,131.0,22,0
679c3f99153edc64d0cff74d,Female,47,1,41.0,1,1-2 Year,No,30203.0,106.0,207,0
679c3f9b153edc64d0d387d0,Female,22,1,43.0,0,< 1 Year,Yes,50314.0,152.0,76,0
679c3f99153edc64d0cf5cf4,Female,25,1,17.0,1,< 1 Year,No,28945.0,152.0,159,0
679c3f9a153edc64d0d12152,Female,54,1,28.0,0,1-2 Year,Yes,32755.0,24.0,43,0
679c3f9a153edc64d0d15cbc,Female,27,1,10.0,1,< 1 Year,No,35293.0,152.0,261,0
679c3f9a153edc64d0d2c696,Male,35,1,46.0,1,1-2 Year,No,2630.0,156.0,265,0
679c3f9a153edc64d0d12d26,Male,45,1,28.0,1,1-2 Year,No,2630.0,26.0,83,0
679c3f9b153edc64d0d46ac4,Female,26,1,11.0,0,< 1 Year,Yes,2630.0,156.0,191,1
679c3f99153edc64d0d042e3,Female,70,1,40.0,0,1-2 Year,Yes,88369.0,26.0,222,0
679c3f99153edc64d0cf9683,Male,26,1,35.0,1,< 1 Year,No,2630.0,152.0,277,0
679c3f9b153edc64d0d4093f,Male,44,1,36.0,0,1-2 Year,Yes,30426.0,124.0,175,0
679c3f9a153edc64d0d1a0fc,Female,34,1,11.0,0,1-2 Year,Yes,43707.0,124.0,148,1
679c3f9b153edc64d0d39006,Male,51,1,37.0,0,1-2 Year,Yes,2630.0,124.0,123,0
679c3f9b153edc64d0d3f230,Female,24,1,2.0,1,< 1 Year,No,21235.0,152.0,283,0
679c3f9b153edc64d0d3b895,Female,24,1,8.0,1,< 1 Year,No,64519.0,152.0,145,0
679c3f99153edc64d0d02a24,Female,35,1,46.0,0,1-2 Year,Yes,25574.0,152.0,184,0
679c3f99153edc64d0d0020a,Female,28,1,3.0,1,< 1 Year,No,37674.0,152.0,94,0
679c3f9a153edc64d0d0c913,Male,64,1,46.0,0,1-2 Year,Yes,23650.0,26.0,239,0
679c3f9b153edc64d0d33100,Male,42,1,35.0,1,1-2 Year,No,20895.0,26.0,86,0
679c3f9a153edc64d0d1bd7b,Female,59,1,28.0,0,1-2 Year,Yes,27613.0,156.0,73,1
679c3f9a153edc64d0d111b0,Female,33,1,15.0,1,1-2 Year,Yes,2630.0,156.0,42,0
679c3f9a153edc64d0d2373a,Male,48,1,28.0,0,1-2 Year,Yes,2630.0,26.0,277,0
679c3f9a153edc64d0d2bc46,Female,39,1,28.0,1,1-2 Year,No,35955.0,26.0,188,0
679c3f99153edc64d0cf71a9,Male,61,1,29.0,0,> 2 Years,Yes,22348.0,124.0,245,1
679c3f9b153edc64d0d30d21,Female,25,1,33.0,0,< 1 Year,Yes,28741.0,151.0,256,0
679c3f9b153edc64d0d39ad9,Male,25,1,17.0,1,< 1 Year,No,34344.0,152.0,217,0
679c3f99153edc64d0cfc7bf,Male,33,1,28.0,0,1-2 Year,Yes,42869.0,124.0,147,0
679c3f9a153edc64d0d301ee,Male,21,1,3.0,0,< 1 Year,Yes,69138.0,160.0,188,0
679c3f9b153edc64d0d47696,Male,59,1,28.0,0,> 2 Years,Yes,43428.0,26.0,121,0
679c3f9a153edc64d0d12b1f,Female,22,1,10.0,1,< 1 Year,No,40110.0,152.0,149,0
679c3f9a153edc64d0d18064,Male,35,1,46.0,0,1-2 Year,Yes,2630.0,156.0,254,1
679c3f9a153edc64d0d1bdb2,Male,75,1,28.0,1,1-2 Year,No,77971.0,26.0,251,0
679c3f9a153edc64d0d1d811,Male,21,1,28.0,0,< 1 Year,Yes,23934.0,152.0,258,1
679c3f99153edc64d0cfa6b1,Male,34,1,46.0,0,1-2 Year,No,29229.0,152.0,248,1
679c3f99153edc64d0cf8469,Female,21,1,9.0,0,< 1 Year,No,30013.0,160.0,10,0
679c3f99153edc64d0cf17d2,Female,22,1,3.0,1,< 1 Year,No,34193.0,152.0,283,0
679c3f9a153edc64d0d1dd01,Male,64,1,46.0,0,1-2 Year,Yes,27076.0,26.0,173,0
679c3f99153edc64d0cfeecc,Female,23,1,37.0,0,< 1 Year,Yes,19041.0,152.0,17,0
679c3f9b153edc64d0d3cb15,Male,59,1,46.0,1,1-2 Year,No,32080.0,26.0,58,0
679c3f9a153edc64d0d06732,Female,31,1,33.0,1,< 1 Year,No,37073.0,152.0,174,0
679c3f99153edc64d0d03fcd,Male,24,1,36.0,0,< 1 Year,Yes,26249.0,26.0,84,1
679c3f99153edc64d0cf3d8d,Female,47,1,7.0,0,1-2 Year,Yes,29942.0,157.0,193,1
679c3f9a153edc64d0d3020b,Female,22,1,8.0,0,< 1 Year,No,41776.0,152.0,236,0
679c3f9a153edc64d0d081be,Female,28,1,28.0,1,< 1 Year,No,37685.0,152.0,275,0
679c3f9a153edc64d0d07b69,Female,22,1,34.0,0,< 1 Year,Yes,36412.0,160.0,11,0
679c3f9a153edc64d0d1dc42,Male,21,1,11.0,0,< 1 Year,Yes,41928.0,154.0,81,0
679c3f9a153edc64d0d2c27a,Female,64,1,48.0,1,1-2 Year,No,2630.0,124.0,40,0
679c3f99153edc64d0cfbc1b,Female,38,1,28.0,0,1-2 Year,Yes,2630.0,157.0,105,1
679c3f9a153edc64d0d146d4,Male,43,1,46.0,0,1-2 Year,Yes,32734.0,124.0,52,0
679c3f9a153edc64d0d2cc11,Female,65,1,46.0,1,1-2 Year,No,36734.0,26.0,126,0
679c3f9a153edc64d0d2c29a,Male,42,1,28.0,0,1-2 Year,Yes,36583.0,124.0,49,0
679c3f9b153edc64d0d41650,Male,63,1,47.0,0,1-2 Year,Yes,14473.0,26.0,60,0
679c3f9b153edc64d0d34e01,Male,20,1,8.0,1,< 1 Year,No,65148.0,160.0,103,0
679c3f9a153edc64d0d2ed31,Male,65,1,8.0,0,> 2 Years,Yes,46776.0,7.0,171,0
679c3f9b153edc64d0d36d80,Female,24,1,12.0,1,< 1 Year,No,27292.0,152.0,290,0
679c3f9a153edc64d0d0b110,Female,57,1,28.0,0,1-2 Year,Yes,58011.0,125.0,121,0
679c3f9a153edc64d0d2857a,Male,56,1,28.0,1,1-2 Year,Yes,21735.0,26.0,259,0
679c3f9a153edc64d0d08ffe,Male,41,1,39.0,0,1-2 Year,Yes,27988.0,26.0,186,1
